序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
32,600023,浙能电力,4.25,10.1,0.39,1761071.0,731342111.0,8.03,4.25,3.94,3.94,3.86,3.22,1.31,-30.7,0.93,56987114183.0,56987114183.0,0.0,0.0,20.74,21.78
33,600629,华建集团,6.23,10.07,0.57,966301.0,578512847.0,11.48,6.23,5.58,5.78,5.66,4.36,10.3,15.7,1.34,6048973818.0,5842869700.0,0.0,0.0,40.95,41.91
34,000600,建投能源,5.7,10.04,0.52,636216.0,351130189.3,9.65,5.7,5.2,5.22,5.18,4.55,5.84,99.16,1.05,10212270343.0,6213251518.0,0.0,0.0,8.57,8.57
35,002051,中工国际,12.5,10.04,1.14,904402.0,1100664070.23,10.39,12.5,11.32,11.37,11.36,2.11,7.31,35.2,1.41,15467611713.0,15463630288.0,0.0,0.0,58.23,58.83
36,600248,陕西建工,5.6,10.02,0.51,1547854.0,847179302.0,9.43,5.6,5.12,5.12,5.09,2.94,10.67,4.94,1.13,20657740802.0,8123713058.0,0.0,0.0,32.39,33.33
37,001337,四川黄金,32.29,10.02,2.94,237917.0,751207389.45,7.33,32.29,30.14,30.14,29.35,1.15,39.65,68.26,11.02,13561800000.0,1937400000.0,0.0,0.0,355.43,355.43
38,603324,盛剑环境,38.89,10.01,3.54,50762.0,191961977.0,9.59,38.89,35.5,35.5,35.35,5.06,11.44,33.1,3.52,4863999523.0,1725930461.0,0.0,0.0,5.19,10.89
39,000710,贝瑞基因,16.6,10.01,1.51,41130.0,68275800.0,0.0,16.6,16.6,16.6,15.09,0.43,1.34,-23.1,2.56,5886457359.0,5088245114.0,0.0,0.0,43.6,45.49
40,002990,盛视科技,40.35,10.01,3.67,114509.0,455492280.93,6.87,40.35,37.83,38.18,36.68,3.05,17.68,37.03,4.79,10411984613.0,2613083149.0,0.0,0.0,32.12,47.1
41,603061,金海通,141.01,10.0,12.82,41896.0,584235200.0,5.56,141.01,133.88,133.89,128.19,1.31,27.93,54.96,6.36,8460600000.0,2115150000.0,0.0,0.0,140.71,140.71
42,603690,至纯科技,45.32,10.0,4.12,297083.0,1305053745.0,9.03,45.32,41.6,42.44,41.2,2.07,9.28,51.61,3.23,14577684406.0,14503812806.0,0.0,0.0,25.75,19.77
43,603283,赛腾股份,48.73,10.0,4.43,72949.0,342408113.0,9.89,48.73,44.35,44.79,44.3,1.7,4.01,30.28,5.54,9294499397.0,8855247177.0,0.0,0.0,24.03,62.27
44,603005,晶方科技,28.6,10.0,2.6,808806.0,2198576049.0,12.88,28.6,25.25,26.24,26.0,1.25,12.4,63.45,4.72,18681873096.0,18652110792.0,0.0,0.0,49.19,54.18
45,002371,北方华创,314.61,10.0,28.6,165535.0,5072595237.38,5.63,314.61,298.5,300.0,286.01,1.44,3.14,70.71,8.42,166351549516.0,165845892593.0,0.0,0.0,39.45,39.64
46,002756,永兴材料,91.55,10.0,8.32,268787.0,2417265767.28,8.93,91.55,84.12,84.2,83.23,4.12,9.04,6.01,3.72,37965189284.0,27211510775.0,0.0,0.0,-12.65,-0.67
47,003043,华亚智能,70.33,9.99,6.39,40674.0,274608694.11,9.46,70.33,64.28,64.5,63.94,1.61,14.22,35.21,5.89,5626400000.0,2011425200.0,0.0,0.0,11.37,15.31
48,003017,大洋生物,31.81,9.99,2.89,25061.0,78956484.0,3.73,31.81,30.73,31.2,28.92,5.22,5.91,23.64,1.94,1908600000.0,1348548050.0,0.0,0.0,12.36,14.8
49,002660,茂硕电源,10.24,9.99,0.93,383353.0,381045798.22,11.71,10.24,9.15,9.21,9.31,3.35,14.91,42.99,2.96,3651850435.0,2632549775.0,0.0,0.0,24.42,28.16
50,002123,梦网科技,16.52,9.99,1.5,1100926.0,1801194312.66,8.12,16.52,15.3,15.33,15.02,3.45,16.47,-18.61,3.83,13252282546.0,11040184468.0,0.0,0.0,32.48,47.11
52,600706,曲江文旅,20.93,9.98,1.9,760284.0,1577628704.0,8.41,20.93,19.33,20.93,19.03,2.53,29.93,-40.01,4.81,5338401300.0,5316851772.0,0.0,0.0,85.55,56.9
53,601858,中国科传,27.32,9.98,2.48,536966.0,1399203135.0,13.24,27.32,24.03,25.03,24.84,1.5,6.79,57.76,4.67,21596460000.0,21596460000.0,0.0,0.0,113.94,152.73
54,000504,南华生物,12.56,9.98,1.14,44922.0,55220141.0,9.89,12.56,11.43,11.43,11.42,2.16,1.45,5427.98,227.77,3913368197.0,3902055405.0,0.0,0.0,4.58,7.9
55,000506,中润资源,5.4,9.98,0.49,1781504.0,933087079.18,8.35,5.4,4.99,4.99,4.91,1.76,19.18,18.08,8.5,5016695909.0,5014823189.0,0.0,0.0,62.16,67.18
57,002126,银轮股份,14.55,9.98,1.32,470449.0,671510373.74,6.42,14.55,13.7,13.82,13.23,3.15,6.31,30.07,2.53,11525721536.0,10839417824.0,0.0,0.0,0.0,17.24
58,002301,齐心集团,8.5,9.96,0.77,367555.0,301859023.26,9.44,8.5,7.77,7.85,7.73,4.27,5.12,32.21,1.96,6131117431.0,6102916896.0,0.0,0.0,22.48,26.68
59,600490,鹏欣资源,4.11,9.89,0.37,1812710.0,728540510.0,8.56,4.11,3.79,3.81,3.74,2.52,9.1,-21.36,1.41,9094965895.0,8189673896.0,0.0,0.0,37.0,37.0
61,002499,科林退,0.78,9.86,0.07,177830.0,13323672.11,9.86,0.78,0.71,0.71,0.71,2.19,9.41,-1.93,-10.47,147420000.0,147414735.0,0.0,0.0,-63.03,-74.51
70,000690,宝新能源,6.93,9.13,0.58,932543.0,630781508.87,10.24,6.97,6.32,6.35,6.35,2.48,4.29,59.45,1.34,15078902884.0,15069086629.0,-0.14,0.0,9.31,6.62
78,605358,立昂微,59.36,8.56,4.68,425646.0,2450318027.0,11.1,59.93,53.86,55.2,54.68,1.78,8.47,46.98,5.06,40177718590.0,29826716135.0,0.0,0.0,35.71,39.34
88,603650,彤程新材,41.36,7.96,3.05,218489.0,865621051.0,12.66,41.88,37.03,38.66,38.31,1.75,3.68,82.7,8.26,24655658364.0,24570642388.0,-0.02,0.1,30.02,34.16
89,600641,万业企业,21.75,7.94,1.6,465582.0,986192640.0,9.78,21.96,19.99,20.35,20.15,2.04,5.0,288.84,2.59,20241200760.0,20241200760.0,-0.05,-0.14,19.9,22.67
93,002222,福晶科技,31.38,7.87,2.29,776479.0,2354304159.06,14.85,32.0,27.68,29.0,29.09,1.2,18.24,61.44,9.76,13414950000.0,13355091646.0,-0.06,-0.16,92.04,98.36
94,002738,中矿资源,75.88,7.78,5.48,294552.0,2204963017.77,9.79,76.96,70.07,70.36,70.4,2.07,6.78,14.12,4.22,38618760031.0,32947259673.0,0.01,-0.08,-3.83,13.83
95,603100,川仪股份,41.34,7.68,2.95,28101.0,112875453.0,9.82,41.83,38.06,38.3,38.39,1.18,0.72,30.18,4.85,16329300000.0,16167867300.0,0.0,-0.1,27.71,32.12
96,000543,皖能电力,5.62,7.66,0.4,946555.0,514204567.93,8.81,5.65,5.19,5.2,5.22,3.0,4.18,22.04,1.01,12739771920.0,12739771920.0,0.0,0.36,28.02,25.45
103,603997,继峰股份,13.48,7.41,0.93,146834.0,194397896.0,8.69,13.66,12.57,12.57,12.55,2.33,1.3,-10.71,4.38,15181658436.0,15181658436.0,-0.15,0.22,-13.03,-11.78
104,600326,西藏天路,7.12,7.39,0.49,2303240.0,1630683245.0,11.16,7.29,6.55,7.29,6.63,6.61,25.07,-20.96,1.61,6556716209.0,6540140749.0,-0.28,-0.14,60.72,57.87
110,605598,上海港湾,31.8,7.29,2.16,50403.0,159529954.0,8.77,32.6,30.0,30.02,29.64,3.28,9.57,29.85,3.61,5493242251.0,1674062251.0,-0.16,0.35,13.01,27.71
116,600698,湖南天雁,4.81,7.13,0.32,127368.0,60510225.0,10.02,4.94,4.49,4.5,4.49,3.64,1.53,14949.88,6.48,5119812254.0,3993107219.0,0.0,-0.62,-0.41,3.44
117,601633,长城汽车,27.68,7.04,1.82,604114.0,1667446026.0,7.42,28.25,26.33,26.71,25.86,3.54,0.99,28.42,3.62,234903134032.0,169747635015.0,-0.04,0.04,-7.49,-6.55
118,600769,祥龙电业,8.84,7.02,0.58,183976.0,159185120.0,6.78,8.88,8.32,8.38,8.26,2.2,4.91,330.19,44.28,3314798448.0,3314798448.0,0.0,0.0,12.33,7.8
121,002095,生 意 宝,27.25,6.95,1.77,491002.0,1306670938.93,12.36,27.99,24.84,25.49,25.48,1.63,19.51,299.89,7.45,6886620000.0,6859054309.0,-0.51,-0.73,23.25,-0.91
123,003026,中晶科技,52.17,6.91,3.37,77080.0,395207532.36,7.19,52.32,48.81,49.15,48.8,2.36,13.95,162.23,7.06,5270102800.0,2882771150.0,0.02,0.06,8.55,7.79
124,603929,亚翔集成,17.88,6.87,1.15,113289.0,199310120.0,9.03,18.19,16.68,16.79,16.73,1.67,5.31,25.34,3.26,3814876800.0,3814876800.0,-0.06,-0.28,22.72,41.01
127,002792,通宇通讯,15.63,6.76,0.99,371533.0,583803294.96,9.9,16.1,14.65,14.65,14.64,2.18,15.38,69.19,2.28,6284150379.0,3776568303.0,-0.06,-0.06,41.06,47.18
128,603927,中科软,42.33,6.76,2.68,312139.0,1340780288.0,9.13,43.62,40.0,40.0,39.65,2.82,5.26,39.35,9.11,25127088000.0,25127088000.0,0.0,-0.14,41.76,42.96
131,603936,博敏电子,14.86,6.68,0.93,392481.0,564406247.0,10.19,15.12,13.7,13.99,13.93,1.29,7.68,54.72,1.82,9481023325.0,7593639761.0,-0.07,0.0,6.75,21.6
132,603306,华懋科技,39.88,6.6,2.47,94900.0,372536838.0,7.78,40.25,37.34,37.45,37.41,1.53,2.96,64.41,3.8,12783197253.0,12783197253.0,0.15,0.1,6.09,6.6
134,002409,雅克科技,65.96,6.49,4.02,198996.0,1274732066.32,9.25,66.53,60.8,62.3,61.94,1.04,6.25,50.82,5.04,31392189641.0,21009710922.0,0.12,0.2,29.08,30.95
135,601991,大唐发电,3.15,6.42,0.19,2123258.0,650922943.0,6.76,3.16,2.96,2.96,2.96,2.46,1.71,-142.13,2.1,58296138088.0,39047680684.0,0.0,0.32,16.67,12.9
137,600509,天富能源,6.99,6.39,0.42,324561.0,222586992.0,6.54,6.99,6.56,6.62,6.57,2.35,2.82,-9.4,1.53,8048390969.0,8048390969.0,0.29,0.14,27.09,34.94
140,603617,君禾股份,8.56,6.2,0.5,91424.0,77131575.0,7.82,8.68,8.05,8.07,8.06,2.06,2.39,44.94,2.65,3347570645.0,3278298965.0,-0.12,0.12,-9.13,-6.86
143,603786,科博达,59.98,6.14,3.47,17600.0,103382237.0,5.5,60.0,56.89,57.12,56.51,1.97,0.44,50.28,5.79,24237798040.0,23997998000.0,-0.02,-0.02,-10.05,-8.89
146,002318,久立特材,16.38,6.09,0.94,171188.0,275559934.37,7.32,16.6,15.47,15.5,15.44,1.99,1.79,12.43,2.76,16006056394.0,15623547898.0,0.0,-0.06,4.8,-1.56
