代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率,概念
000001,平安银行,12.53,-1.18,-0.15,-0.16,0.45,1.16,2.05,10.92亿,194.06亿,2431.52亿,5.34,"证金持股,跨境支付（CIPS）,标普道琼斯A股,MSCI概念,深股通,融资融券"
000002,万科A,15.24,-2.31,-0.36,0.07,1.39,1.89,3.21,20.71亿,97.17亿,1480.82亿,8.04,"REITs概念,同花顺漂亮100,物业管理,装配式建筑,标普道琼斯A股,冰雪产业,超级品牌,MSCI概念,深股通,体育产业,融资融券"
000004,ST国华,9.9,1.75,0.17,0.1,0.74,0.45,1.85,0.09亿,1.19亿,11.77亿,--,"电力物联网,数据安全,鸿蒙概念,网络安全,车联网,壳资源,华为概念,ST板块,5G,物联网"
000005,ST星源,1.77,1.14,0.02,0.0,0.43,0.89,2.29,0.08亿,10.58亿,18.73亿,139.53,"土壤修复,广东自贸区,ST板块,固废处理"
000006,深振业A,5.08,0.79,0.04,0.0,0.92,0.56,1.19,0.63亿,13.50亿,68.58亿,25.58,"证金持股,国企改革,深圳国企改革,物业管理,标普道琼斯A股,深股通,粤港澳大湾区,融资融券"
000007,全新好,7.67,-0.39,-0.03,0.0,0.65,0.5,1.17,0.15亿,3.09亿,23.70亿,--,"举牌,粤港澳大湾区,摘帽,口罩"
000008,神州高铁,2.37,1.72,0.04,0.0,0.64,0.78,1.72,0.39亿,26.30亿,62.33亿,--,"国企改革,央企国企改革,机器人概念,工业4.0,云计算,职业教育,标普道琼斯A股,腾讯概念,深股通,PPP概念,高铁,一带一路,融资融券"
000009,中国宝安,11.37,0.27,0.03,-0.09,0.49,0.66,0.88,1.43亿,25.51亿,290.10亿,38.22,"固态电池,比亚迪概念,高压快充,钠离子电池,储能,无线充电,物业管理,标普道琼斯A股,分拆上市意愿,动力电池回收,宁德时代概念,钴,深股通,金属镍,粤港澳大湾区,口罩,金属回收,融资融券,土地流转,小金属概念,充电桩,生物医药,锂电池,石墨烯,稀土永磁,参股新三板,军工,创投,新能源汽车"
000010,美丽生态,2.82,1.44,0.04,0.0,1.42,0.69,2.52,0.21亿,5.22亿,14.73亿,--,"新型城镇化,煤炭概念,PPP概念"
000011,深物业A,10.11,0.3,0.03,0.3,0.58,0.47,1.09,0.31亿,5.26亿,53.23亿,11.21,"国企改革,深圳国企改革,物业管理,深股通,粤港澳大湾区,一带一路"
000012,南玻A,6.71,-0.45,-0.03,-0.15,1.05,0.97,1.93,1.39亿,19.57亿,131.30亿,9.36,"低辐射玻璃（Low-E）,光伏建筑一体化,OLED,特斯拉,标普道琼斯A股,雄安新区,深股通,口罩,一带一路,光伏概念,融资融券,军工,建筑节能"
000014,沙河股份,9.42,-0.84,-0.08,0.0,1.82,1.02,2.1,0.42亿,2.42亿,22.80亿,9.17,"国企改革,深圳国企改革,年报预增,物业管理,粤港澳大湾区"
000016,深康佳A,5.09,0.2,0.01,0.0,1.83,0.71,3.15,1.47亿,15.97亿,81.27亿,--,"国企改革,央企国企改革,消费电子概念,智能家居,MiniLED,标普道琼斯A股,分拆上市意愿,超清视频,网约车,人民币贬值受益,腾讯概念,深股通,PPP概念,芯片概念,融资融券,家用电器,电子商务,污水处理,创投"
000017,深中华A,4.62,0.22,0.01,0.0,1.38,0.56,1.3,0.19亿,3.03亿,14.00亿,1970.62,"两轮车,新零售,粤港澳大湾区,锂电池,黄金概念"
000019,深粮控股,7.79,1.3,0.1,0.13,1.19,0.78,1.56,0.38亿,4.16亿,32.42亿,21.15,"国企改革,深圳国企改革,粮食概念,预制菜,数字乡村,标普道琼斯A股,深股通,一带一路,冷链物流,电子商务"
000020,深华发A,10.66,0.09,0.01,0.09,0.7,0.46,1.97,0.13亿,1.81亿,19.31亿,265.56,粤港澳大湾区
000021,深科技,16.72,6.91,1.08,0.0,11.28,1.64,8.06,28.41亿,15.60亿,260.83亿,34.01,"国企改革,央企国企改革,先进封装（Chiplet）,智能制造,消费电子概念,工业4.0,标普道琼斯A股,MSCI概念,区块链,深股通,集成电路概念,医疗器械概念,华为概念,芯片概念,超级电容,融资融券,无人机,智能电网,节能照明,新能源汽车"
000023,深天地A,10.25,0.39,0.04,0.1,0.55,0.59,1.67,0.08亿,1.39亿,14.22亿,--,"物业管理,壳资源,粤港澳大湾区"
000025,特力A,18.26,1.05,0.19,0.06,1.12,0.58,2.16,0.80亿,3.93亿,71.72亿,95.03,"国企改革,深圳国企改革,物业管理,标普道琼斯A股,深股通,粤港澳大湾区,融资融券,黄金概念"
000026,飞亚达,11.03,0.46,0.05,-0.09,0.75,0.64,1.37,0.30亿,3.63亿,39.99亿,17.27,"国企改革,央企国企改革,智能穿戴,电子商务,军工"
000027,深圳能源,6.11,0.33,0.02,0.0,0.19,0.83,1.31,0.56亿,47.57亿,290.68亿,13.34,"国企改革,深圳国企改革,超超临界发电,绿色电力,天然气,储能,光伏建筑一体化,碳中和,碳交易,氢能源,节能环保,垃圾分类,标普道琼斯A股,MSCI概念,腾讯概念,深股通,互联网保险,PPP概念,粤港澳大湾区,光伏概念,融资融券,充电桩,风电,固废处理,特高压,参股新三板,参股券商,创投"
000028,国药一致,44.12,1.24,0.54,0.07,1.3,0.97,2.5,2.12亿,3.68亿,162.24亿,12.71,"国企改革,央企国企改革,标普道琼斯A股,互联网医疗,深股通,冷链物流,融资融券,智能医疗"
000029,深深房A,11.89,0.08,0.01,-0.25,0.25,0.74,1.68,0.26亿,8.92亿,106.02亿,78.25,"国企改革,深圳国企改革,物业管理,深股通,粤港澳大湾区,融资融券"
000030,富奥股份,4.81,1.05,0.05,0.21,0.24,1.19,1.47,0.20亿,16.92亿,81.40亿,21.57,"证金持股,国企改革,比亚迪概念,汽车热管理,换电概念,参股保险,标普道琼斯A股,宁德时代概念,深股通,汽车电子,融资融券,新能源汽车"
000031,大悦城,3.73,0.0,0.0,0.27,0.58,0.39,1.88,0.87亿,40.03亿,149.31亿,132.28,"证金持股,国企改革,央企国企改革,标普道琼斯A股,深股通,粤港澳大湾区,融资融券"
000032,深桑达A,33.06,2.26,0.73,0.0,3.82,0.54,4.89,8.08亿,6.45亿,213.16亿,--,"数据确权,国企改革,央企国企改革,信创,方舱医院,国资云,数据安全,绿色电力,元宇宙,碳中和,数据中心,安防,数字乡村,智慧政务,国产操作系统,数字孪生,柔性屏,智能交通,深股通,体育产业,高铁,粤港澳大湾区,融资融券,大数据,智慧城市,节能照明,数字经济"
000034,神州数码,31.49,4.17,1.26,0.0,9.1,1.01,7.77,15.28亿,5.49亿,172.80亿,20.97,"ChatGPT概念,信创,华为鲲鹏,东数西算（算力）,年报预增,网络安全,云计算,标普道琼斯A股,数字孪生,边缘计算,区块链,深股通,阿里巴巴概念,华为概念,融资融券,物联网"
000035,中国天楹,5.15,0.39,0.02,0.0,0.54,0.55,1.36,0.68亿,24.53亿,126.35亿,77.52,"生物质能发电,储能,机器人概念,节能环保,垃圾分类,医疗废物处理,标普道琼斯A股,人工智能,深股通,融资融券,固废处理"
000036,华联控股,3.83,-0.26,-0.01,0.0,0.21,0.46,1.04,0.12亿,14.80亿,56.67亿,59.09,"物业管理,标普道琼斯A股,深股通,融资融券"
000037,深南电A,7.7,1.99,0.15,0.13,0.88,0.87,1.99,0.23亿,3.39亿,26.09亿,--,"储能,节能环保,粤港澳大湾区,固废处理,核电"
000038,*ST大通,4.11,0.73,0.03,0.24,1.77,0.5,2.94,0.18亿,2.51亿,10.30亿,12.13,"抖音概念,区块链,人工智能,工业大麻,ST板块,文化传媒"
