基金代码,基金简称,发行公司,基金类型,集中认购期,募集份额,成立日期,成立来涨幅,基金经理,申购状态,优惠费率
018216,长城久恒灵活配置混合C,长城基金,混合型-灵活,23/04/03～23/04/03,,2023-04-03,4.92,储雯玉,开放申购,0.0
018182,万家中证软件服务指数发起式A,万家基金,指数型-股票,23/03/27～23/03/27,0.1,2023-03-29,-0.39,杨坤,开放申购,0.1
018183,万家中证软件服务指数发起式C,万家基金,指数型-股票,23/03/27～23/03/27,0.1,2023-03-29,-0.39,杨坤,开放申购,0.0
018152,长城核心优势混合C,长城基金,混合型-偏股,23/03/23～23/03/23,,2023-03-23,2.12,林皓,开放申购,0.0
016898,广发中证上海环交所碳中和ETF发起式联接C,广发基金,指数型-股票,23/03/20～23/03/24,0.54,2023-03-28,-0.15,陆志明,开放申购,0.0
016897,广发中证上海环交所碳中和ETF发起式联接A,广发基金,指数型-股票,23/03/20～23/03/24,0.54,2023-03-28,-0.15,陆志明,开放申购,0.12
018134,富国中证大数据产业ETF发起式联接A,富国基金,指数型-股票,23/03/15～23/03/22,0.23,2023-03-24,2.05,牛志冬,开放申购,0.12
018135,富国中证大数据产业ETF发起式联接C,富国基金,指数型-股票,23/03/15～23/03/22,0.23,2023-03-24,2.04,牛志冬,开放申购,0.0
017853,易方达中证云计算与大数据主题ETF联接发起式A,易方达基金,指数型-股票,23/03/14～23/03/14,0.11,2023-03-15,18.52,张湛,开放申购,0.12
017937,易方达中证医疗ETF联接发起式A,易方达基金,指数型-股票,23/03/14～23/03/14,0.1,2023-03-15,5.91,张湛,开放申购,0.12
017854,易方达中证云计算与大数据主题ETF联接发起式C,易方达基金,指数型-股票,23/03/14～23/03/14,0.11,2023-03-15,18.5,张湛,开放申购,0.0
017938,易方达中证医疗ETF联接发起式C,易方达基金,指数型-股票,23/03/14～23/03/14,0.1,2023-03-15,5.89,张湛,开放申购,0.0
018028,嘉实中证高端装备细分50ETF发起联接C,嘉实基金,指数型-股票,23/03/08～23/03/14,0.12,2023-03-16,0.36,刘珈吟,开放申购,0.0
018027,嘉实中证高端装备细分50ETF发起联接A,嘉实基金,指数型-股票,23/03/08～23/03/14,0.12,2023-03-16,0.37,刘珈吟,开放申购,0.1
